atún,17;5;2027,85,Lummerland
arroz,2;9;2025,150,Oz
café,8;12;2029,60,Hotland
harina,22;3;2028,120,Hogwarts
sardinas,14;11;2026,65,Narnia
azúcar,30;7;2030,200,Transilvania
leche,9;2;2027,110,Snowdin
miel,5;8;2029,25,Macondo
té,19;10;2025,45,Waterfall
galletas,3;6;2028,85,Lummerland
conservas,28;4;2030,40,Castletown
pasta,11;9;2026,130,Ruins
lentejas,25;1;2027,55,Oz
chocolate,23;7;2028,35,Hogwarts
queso,1;11;2027,45,Narnia
sal,29;8;2030,75,Macondo
yogurt,4;10;2028,60,Snowdin
mermelada,13;6;2027,50,Hotland
cereal,21;2;2029,70,TheCore
pan,6;4;2026,30,Dcc
frutas,18;1;2030,55,Lummerland
manteca,12;12;2026,40,Castletown
vino,7;3;2029,95,Oz
quesillo,16;9;2028,70,Dcc
cacao,15;12;2027,85,Hobbiton
aceitunas,27;7;2028,60,Transilvania
quesillo de cabra,10;5;2027,40,Macondo
mantecol,5;11;2026,90,Waterfall
cereal integral,22;4;2029,120,Narnia
mantequilla,9;2;2027,75,Hogwarts
pan dulce,17;10;2025,55,Snowdin
mantequilla clarificada,20;7;2029,65,Oz
frutillas,24;3;2030,80,Castletown
