1,1
1,9
2,2
2,20
3,10
3,17
3,20
4,3
4,13
4,14
5,5
5,9
5,18
5,20
6,3
6,10
7,5
7,7
7,11
7,18
8,3
8,10
8,19
9,2
9,8
9,14
9,19
10,4
10,14
11,2
11,10
11,20
12,1
12,4
12,5
12,6
13,1
13,6
13,12
13,16
14,6
14,9
14,12
14,17
15,4
15,9
16,11
16,14
17,3
17,9
17,17
18,3
18,15
18,16
18,19
19,2
19,6
19,12
19,16
20,4
20,6
20,9
21,1
21,4
21,8
21,17
22,1
22,8
23,12
23,16
24,2
24,5
24,6
25,8
25,11
25,14
25,19
26,3
26,9
26,11
27,2
27,4
27,12
27,17
28,8
28,17
29,3
29,13
30,10
30,11
30,20
31,15
31,18
32,7
32,12
33,8
33,10
33,19
34,12
34,16
34,19
35,8
35,18
36,1
36,14
37,8
37,18
38,1
38,11
38,20
39,4
39,7
39,10
39,13
40,2
40,8
40,14
40,16
41,3
41,9
42,8
42,17
43,3
43,12
43,15
44,4
44,5
44,13
44,17
45,19
45,20
46,5
46,14
47,9
47,10
48,11
48,13
48,19
49,3
49,8
49,9
50,5
50,19
51,4
51,5
52,15
52,20
53,4
53,14
53,18
54,7
54,10
54,15
55,3
55,4
55,9
56,2
56,10
57,5
57,11
58,8
58,12
59,2
59,10
59,17
60,1
60,6
60,13
61,8
61,18
61,20
62,4
62,15
63,1
63,4
64,5
64,8
65,12
65,13
66,3
66,9
66,19
66,20
67,3
67,7
68,3
68,5
68,11
68,15
69,2
69,15
70,6
70,19
71,1
71,13
71,16
72,6
72,12
72,14
73,6
73,9
74,2
74,5
74,15
75,8
75,10
75,16
75,20
76,2
76,16
76,18
77,9
77,13
78,7
78,14
79,1
79,8
79,17
79,18
80,12
80,16
80,18
81,12
81,17
81,19
82,6
82,9
82,13
83,8
83,11
84,2
84,9
85,8
85,12
85,17
86,4
86,8
87,2
87,8
87,9
87,18
88,13
88,19
89,6
89,8
89,20
90,1
90,11
90,12
90,19
91,5
91,7
91,16
91,19
92,2
92,6
92,10
92,16
93,2
93,8
94,1
94,8
94,16
94,17
95,7
95,11
96,6
96,11
97,1
97,2
97,5
98,4
98,5
98,12
98,17
99,12
99,13
100,4
100,10
100,11
100,19
101,6
101,14
102,6
102,11
102,12
102,16
103,6
103,19
104,5
104,10
104,20
105,1
105,19
106,2
106,6
106,19
107,4
107,8
107,11
107,16
108,3
108,11
109,11
109,12
110,3
110,11
111,1
111,7
111,9
112,3
112,12
113,1
113,2
113,4
114,6
114,14
114,15
115,12
115,13
115,16
116,4
116,8
116,13
116,16
117,3
117,15
118,1
118,10
119,3
119,4
119,9
120,6
120,13
120,20
121,3
121,11
121,18
121,20
122,1
122,14
122,16
122,20
123,2
123,6
123,14
123,20
124,7
124,11
125,14
125,18
126,9
126,10
126,18
126,20
127,2
127,4
128,16
128,18
128,19
129,2
129,12
130,3
130,14
131,7
131,16
131,20
132,1
132,7
133,3
133,10
134,4
134,10
134,13
135,3
135,9
135,16
136,6
136,12
136,13
136,18
137,6
137,12
137,15
138,9
138,15
139,8
139,9
139,20
140,2
140,3
140,4
140,5
141,8
141,12
141,14
141,18
142,2
142,13
142,14
142,17
143,8
143,16
143,19
143,20
144,2
144,3
144,13
145,4
145,5
145,17
145,19
146,6
146,7
146,20
147,2
147,5
148,3
148,7
148,14
149,3
149,5
149,9
149,11
150,13
150,18
151,9
151,11
151,18
