1,1,01:10,1;2;3;4
1,2,00:17,1;2;3;4
20,2,00:54,1;2;4
118,2,01:59,1;2;3;4
117,3,00:37,1;2;3
121,3,00:41,4
11,3,00:47,2
93,4,00:18,3
1,4,00:40,1;4
126,4,00:42,1;3;4
120,5,00:13,2
80,5,00:38,1;3
151,5,00:54,1;2;4
18,6,01:46,1;3;4
75,7,01:45,3;4
26,8,01:26,1;2;3;4
90,9,02:19,2;3
39,10,00:01,3
20,10,00:04,2
25,10,00:29,1
14,10,01:37,1;2;3
73,11,00:12,3
61,12,00:23,2;3;4
144,13,01:47,1;2;3;4
114,14,00:23,1;2;3;4
53,14,00:50,2
40,14,02:04,2;3;4
79,15,00:45,2;3;4
135,16,01:53,1;2;3
144,17,00:05,2
136,18,01:23,1;2;4
94,19,01:32,1;2;3;4
142,20,01:58,1;2;3;4
89,21,00:10,1;2;3;4
5,22,01:34,2;3;4
5,23,02:12,1;3;4
127,24,01:32,1
121,24,01:41,1;2;3;4
29,24,02:19,1
15,25,00:34,2;3;4
102,26,01:04,2;3;4
48,27,01:01,1;2;3;4
44,27,01:48,1;2;3
94,28,02:17,1;2;3
33,29,02:11,1;2;3;4
56,30,01:27,1
42,31,00:12,4
61,32,02:16,1;2;3
78,33,00:44,1;3
65,33,01:04,3
44,33,01:27,1;2;3;4
115,33,01:37,2;3;4
33,34,00:07,2;4
145,34,00:13,1;2;3;4
132,34,00:48,2
11,34,01:35,1;2;3;4
146,34,02:11,2;4
146,35,01:12,1;2;3;4
116,35,02:11,1;2
76,36,01:02,3
27,36,02:15,2;4
64,37,01:00,1;2;3
18,37,01:30,3;4
110,38,00:19,2
145,38,01:31,4
120,39,00:27,1;2;3
71,39,02:06,4
141,40,01:03,1;2;3
26,40,01:54,3
99,40,02:14,1
125,41,00:59,2
64,42,00:14,1;2;3;4
9,42,00:24,1;2;4
47,42,00:55,3
33,43,00:16,1;2
37,43,01:04,4
72,43,01:37,2
76,43,01:38,2
22,43,02:13,1;2;4
32,44,01:33,1;2
100,45,00:08,1;2;4
59,46,01:08,2
100,47,02:19,1;3;4
112,48,00:06,2;3
64,48,00:26,2;4
103,48,01:55,3;4
5,49,00:17,1;3;4
42,49,01:32,4
6,50,00:54,2
123,50,01:08,1;2;3;4
42,51,01:47,1;4
28,52,01:51,1;2;4
85,53,01:51,1;2;4
19,54,00:46,1;4
45,54,01:19,1;2;3
58,55,00:06,1;2;3;4
142,56,01:28,1;2;3;4
55,56,01:34,1;2;3;4
41,57,01:36,1;3;4
67,57,01:59,1;2;3
40,58,02:03,1
23,59,01:01,2;3
111,59,01:26,2;3;4
30,60,00:27,1;2
136,60,00:51,2;3
73,60,00:56,2;3;4
121,60,00:59,2;3;4
128,60,01:34,1;2;3;4
118,60,01:42,3;4
105,61,01:58,1;2;3;4
131,62,00:17,1;2;3;4
101,63,00:37,4
124,64,00:09,3;4
134,65,01:02,1;2;3;4
139,66,00:04,1;3
95,67,00:18,1;2;3;4
9,67,00:44,2;3
98,68,00:56,1;2
122,69,01:47,4
80,70,01:29,1;2;3;4
92,71,01:49,1;2;4
4,72,00:26,2;4
36,73,01:24,1;4
145,74,00:43,1;3;4
48,75,01:26,1;2
62,76,01:47,3
55,76,02:09,1
129,76,02:13,2;3
17,77,00:37,2;3
13,77,02:15,2;3;4
106,78,01:52,2;3;4
143,79,00:11,1;2;4
22,79,01:19,1;2;3;4
16,79,01:41,1;2;3
125,80,00:11,3
