1,1,00:30,1;2
1,2,00:07,2
28,2,00:07,1;2
30,3,00:06,1;2
22,3,00:50,1
50,4,00:18,1;2
3,4,00:35,1;2
27,5,00:02,1;2
50,6,00:14,2
17,6,00:41,1;2
1,6,00:45,1
20,7,00:26,1;2
37,8,00:34,1
4,9,00:01,1
11,9,00:34,1;2
34,9,00:45,1
23,9,00:53,1;2
32,9,00:56,1
34,10,00:36,1;2
45,10,00:39,2
13,10,00:42,1;2
39,10,00:42,1;2
18,10,00:43,1;2
48,10,00:50,1
15,11,00:20,1
36,12,00:18,1
47,12,00:59,2
31,13,00:43,1
3,13,00:51,1
45,14,00:23,1;2
49,14,00:25,1;2
41,15,00:23,1;2
27,15,00:43,1;2
18,15,00:45,2
10,15,00:50,1;2
20,16,00:01,1;2
28,16,00:36,2
32,16,00:53,1
3,17,00:15,1;2
31,18,00:08,1;2
30,18,00:30,2
24,19,00:05,1
7,19,00:18,1;2
22,20,00:20,1;2
38,20,00:33,1;2
42,21,00:17,1;2
14,21,00:29,1
33,22,00:52,1
44,22,00:59,2
19,23,00:20,1;2
35,23,00:53,2
16,24,00:09,2
29,24,00:50,1;2
49,25,00:03,1
14,25,00:16,1;2
10,25,00:28,2
2,26,00:02,1;2
25,26,00:25,1;2
30,27,00:47,1;2
8,27,00:49,1;2
41,27,00:49,2
37,27,00:50,2
43,28,00:06,1;2
16,28,00:38,1
14,29,00:20,1
18,30,00:19,1
9,31,00:21,1
1,31,00:22,1;2
24,31,00:50,1;2
1,32,00:23,1;2
7,33,00:16,1;2
40,33,00:29,1
45,33,00:44,1;2
49,34,00:28,1;2
37,34,00:30,1;2
12,34,00:31,1
38,34,00:32,1;2
9,35,00:23,1;2
14,35,00:42,1;2
44,36,00:08,1;2
4,36,00:19,1;2
5,36,00:37,1;2
2,36,00:59,2
49,37,00:17,1;2
19,38,00:57,1;2
39,39,00:04,2
40,39,00:58,2
46,40,00:01,2
1,41,00:33,1;2
13,42,00:05,1;2
27,42,00:07,1
22,42,00:53,1;2
6,42,00:56,2
42,43,00:04,1
38,43,00:31,1
44,43,00:41,1;2
29,43,00:44,2
25,44,00:01,1;2
21,44,00:03,1;2
26,44,00:15,1;2
50,44,00:41,1;2
46,44,00:47,1;2
15,45,00:22,2
7,46,00:13,1
25,47,00:57,1;2
21,48,00:42,1;2
2,49,00:17,1;2
8,50,00:23,1;2
21,50,00:41,1;2
46,50,00:43,2
10,50,00:45,2
