900,764:1;843:4,31
899,415:4;658:2;669:1,24
898,107:1;112:3;200:3;277:1,16
897,110:1;167:2;555:1,20
896,207:1;565:2,18
895,584:1,31
894,50:3,6
893,9:3;366:4;770:2,21
892,133:1;365:3;720:4;744:1,33
891,25:4;602:4,3
890,156:4;166:1;699:1,15
889,698:2;827:2,33
888,135:3;459:3;805:3,28
887,730:4,16
886,622:1;626:2,32
885,825:1,10
884,561:1;801:4;817:1,30
883,166:1;174:3;303:3,23
882,73:2,30
881,263:4;485:2;782:1,32
880,373:3,26
879,133:4;635:3;697:3;878:3,6
878,270:1;461:1;519:2;699:1,10
877,298:4,11
876,75:4;229:1;398:3;875:4,30
875,88:1;112:4;185:4;750:2,26
874,67:4;325:2;351:4,8
873,40:2;466:4;559:2,14
872,33:4;582:1;616:3,28
871,24:4;56:3;217:3;219:2,6
870,71:4;281:1,20
869,220:3;430:2;538:1;686:1,28
868,169:2;305:3;772:4,31
867,165:4;549:3;706:4;803:1,36
866,80:2;741:3,21
865,155:4,10
864,117:4;325:3;691:1;812:4,9
863,38:2;100:2;593:4;655:2,25
862,215:2;357:1,24
861,17:1;310:4;315:4,27
860,361:3;437:1;556:2;849:4,28
859,182:2;567:4;610:4,19
858,291:1;636:1;650:1;719:1,2
857,107:1;509:4;768:1;770:3,27
856,229:4;796:4,8
855,128:3;481:4,27
854,8:3;230:3;384:3;801:3,27
853,5:1;425:1,2
852,384:3;810:3,11
851,198:4;248:1;401:4;570:2,25
850,326:2;413:4,15
849,728:2,33
848,647:4,17
847,209:1;331:1,2
846,12:2;608:1;644:1;789:4,2
845,465:3;650:2,16
844,199:2;305:4,17
843,282:1,10
842,654:1,8
841,110:3;126:3;146:2;611:1,5
840,104:4;213:1;371:4;401:1,32
839,216:4,25
838,462:2;649:2;828:3,1
837,581:1;676:1,22
836,496:1;615:2;629:3,8
835,31:1;621:2,14
834,31:3;118:2;223:2,6
833,275:4;281:2,6
832,565:3;668:4;726:4,28
831,178:3;198:4;203:1;257:3,11
830,500:4;740:4,28
829,111:4;327:4;638:2,23
828,66:2;461:1;648:3,27
827,544:3;619:4;661:1,8
826,331:2;440:3,16
825,221:3,24
824,322:1;799:1,21
823,735:3,14
822,239:1;330:4;582:3;815:2,34
821,106:3;575:1,27
820,202:1;203:4;326:4;328:1,18
819,123:3;128:4;176:2;464:1,19
818,660:1,30
817,38:1;135:3;413:1,5
816,98:3;309:3;426:3;741:4,6
815,49:4;506:3;628:4,32
814,383:1,2
813,11:2;49:1,21
812,91:3;175:1;196:1;232:3,3
811,50:3,5
810,338:4;628:3;705:2,9
809,123:4;130:4;152:1;327:2,31
808,288:4;330:2;749:1;792:3,19
807,362:2,14
806,77:4,4
805,14:2;687:4,25
804,108:3;500:2,34
803,320:4;726:2;779:1,9
802,373:4;395:2,26
801,71:4;285:2,20
800,151:4,7
799,247:1,30
798,30:4;274:4,23
797,87:3;122:4;564:2,10
796,342:1;442:4;515:3;521:3,7
795,665:4,28
794,194:4;302:2,18
793,112:1;444:2;532:1;698:2,8
792,37:3,16
791,545:1,18
790,636:4;717:4,26
789,226:3,32
788,176:3;209:3,19
787,97:2,33
786,245:2;313:3;705:1;757:2,12
785,14:4;146:4;467:3,2
784,79:2;271:1,23
783,2:4;254:1;501:1;598:1,19
782,516:2;538:2,7
781,312:3,29
780,264:4;360:3;559:3;753:4,1
779,309:4;342:1;728:3,34
778,152:4,15
777,366:1;510:2,28
776,92:2;212:4;763:1,18
775,180:3;272:3;540:4;696:4,18
774,43:3;196:1;594:4,30
773,9:4;113:2;296:4,10
772,572:2;639:3;681:4,19
771,302:1,30
770,223:3,8
769,501:3,1
768,1:3;52:2;361:3;677:3,33
767,89:3;731:2,13
766,83:1;225:4;298:3;600:2,25
765,101:3;268:2;310:4;409:3,9
764,139:4;257:2,20
763,88:4;305:2;581:4,28
762,142:4,21
761,363:4;438:4;480:4,30
760,573:1,27
759,144:3,16
758,131:3;557:1;636:4,9
757,7:4;474:1;531:1;687:1,18
756,342:1,19
755,63:1;125:2;340:2;708:4,9
754,656:2;692:3,20
753,497:2,8
752,1:2,8
751,254:2,7
750,26:1;401:1;455:3;518:4,31
749,241:3;560:4,8
748,23:2;150:2;190:2;652:2,31
747,103:4;297:3;603:3;684:4,25
746,476:4,28
745,29:4;291:1,25
744,595:3,3
743,44:4;143:3;364:1;480:2,23
742,358:4;724:1,12
741,361:3;672:4,9
740,311:1;404:4;675:4,31
739,590:3;726:2,21
738,414:1;599:1;633:1,11
737,99:1;682:4,31
736,108:2;238:4;243:4,5
735,627:3,8
734,75:4,24
733,179:3,7
732,137:2;387:2;588:3;653:4,29
731,166:4;207:2;231:1,2
730,209:1,9
729,369:4,35
728,349:2,34
727,195:3;213:3;486:2;585:1,29
726,73:1;386:2;583:3;641:1,8
725,53:3;237:1;554:2;616:3,17
724,70:3;162:1;367:2;721:3,26
723,560:1,31
722,31:3;34:4;669:3,13
721,61:3;143:1;210:2,32
720,578:1,23
719,427:1,36
718,43:1;107:4;133:2;278:3,28
717,22:1;57:2;234:4;311:1,36
716,54:2;387:4;397:4;713:2,8
715,121:2;361:3;377:4;631:1,16
714,95:1;603:2,27
713,16:2,4
712,59:2,29
711,45:3;290:3,16
710,133:4;408:1;621:1,5
709,211:3;507:2;557:4,20
708,300:2;565:3;670:3,35
707,56:3,27
706,81:2;141:3;209:2;287:1,24
705,37:4;241:4,8
704,511:1,18
703,308:1;394:1;603:3,25
702,20:1;392:2;394:2;455:4,12
701,54:1;313:3;546:1;677:3,17
700,29:4;350:4,4
699,567:4,19
698,435:3;532:2;582:4;587:4,16
697,16:3;288:1,16
696,346:1;405:3;585:3,18
695,13:1;623:3;669:3,17
694,455:1;474:4,1
693,38:2;368:4;492:1;654:1,18
692,66:3;185:3;452:3,32
691,233:2;646:2,4
690,118:1;671:2,33
689,43:2;325:1;567:3;594:3,2
688,46:2;554:3;615:1,5
687,80:2;116:3;243:3;524:4,5
686,26:3;147:3;290:4;335:3,31
685,32:3;165:1;637:3,10
684,109:2,21
683,221:1;388:2;597:4,6
682,230:4,35
681,541:1,31
680,200:3;276:2;325:3;590:2,24
679,323:1;467:2,29
678,82:1;361:3;371:4;574:2,29
677,129:2;236:4;551:2;584:3,19
676,84:4;121:4;322:2,32
675,185:1;465:2,8
674,104:2;270:1;482:4;568:1,11
673,136:4,28
672,131:2;412:3;571:1,22
671,606:1;624:1;632:1,23
670,419:3;447:4;461:2;646:2,33
669,156:1,24
668,181:3;329:1;389:2;450:3,32
667,50:4;531:3;578:3,25
666,43:2;147:4;183:3,21
665,356:3,11
664,295:3,32
663,174:1;230:2;266:3;296:2,7
662,521:2;566:1,3
661,7:1;501:3,14
660,437:2;456:4;585:3,8
659,456:4,32
658,89:1;141:3;286:1,15
657,335:2,33
656,283:1;465:3;646:1,28
655,534:3,13
654,650:1,16
653,386:2;601:2,17
652,156:3;192:2;497:2;509:1,34
651,4:1;445:4,36
650,40:4;183:3,25
649,358:2;496:3,15
648,497:4;502:3;646:4,19
647,225:1,19
646,254:1;334:2;436:4;458:3,8
645,132:4;408:4;496:2,2
644,221:4;275:1;520:3,17
643,401:4;422:4;453:3,4
642,225:1;348:3;498:4,27
641,171:2;587:1,22
640,553:1;620:1,25
639,342:3,36
638,51:2,24
637,161:4;549:2,19
636,340:4;383:2,36
635,14:1;37:1,33
634,44:3;161:1;290:2;497:2,3
633,127:2;387:3;411:1,5
632,517:4,2
631,555:2,7
630,199:4;320:1;332:3;621:3,30
629,103:4;271:4,19
628,96:3;228:4;417:3;575:2,25
627,509:4,24
626,464:2,2
625,238:1;379:3;458:3;489:2,6
624,575:2,14
623,86:4;145:4;256:2;608:1,32
622,319:2;346:1;422:3,27
621,275:2,36
620,242:3;321:4;512:4;559:1,7
619,14:2;80:1;131:2;385:2,29
618,40:4,32
617,499:2;538:4,26
616,304:1,28
615,278:3;331:2;536:2,19
614,381:3;532:4,30
613,139:2;339:4,1
612,154:4;184:1;427:1,20
611,97:4;205:3,7
610,480:2,5
609,232:1;354:2;573:3,19
608,314:3;377:2;413:1;599:2,7
607,183:3;287:1,9
606,284:2;339:2;485:1;590:2,14
605,151:2,11
604,1:2;54:4;80:4;332:4,21
603,121:4;247:4;513:4,31
602,320:1;325:2;535:2,18
601,448:4;574:4,17
600,572:4,23
599,26:4;375:3,28
598,196:4;574:3,12
597,201:4,24
596,6:3;318:1,24
595,14:1;280:3;515:4,26
594,260:3,4
593,483:4,32
592,485:1;559:1,24
591,157:2,9
590,430:1,4
589,64:3;100:2;322:1;558:3,21
588,376:1;529:4,27
587,67:2,33
586,86:2;274:4,3
585,204:2;420:1;518:3,18
584,121:1;350:4;478:1,8
583,187:1,12
582,11:2;21:3;174:4,6
581,196:2;316:3,4
580,144:3;183:4;286:2;294:2,18
579,182:3;303:4,17
578,502:3,24
577,175:1;461:4;536:2,35
576,356:3;445:2,22
575,93:3;216:2;526:4,17
574,119:2,31
573,331:3;479:4,3
572,9:2;108:4;368:4,22
571,103:3;192:2;367:4,35
570,23:4;450:4,26
569,250:4;259:4;346:3;383:1,15
568,432:4,18
567,30:3;168:2;171:2;525:2,22
566,93:3,10
565,170:4;406:1;470:2,13
564,309:1;315:2,16
563,93:2;448:2,36
562,6:3;164:1;489:4,36
561,218:2;386:1;475:4;484:2,21
560,335:3;410:4,26
559,356:4,2
558,183:3;241:3,22
557,408:1,15
556,193:1;512:2,20
555,96:4;185:2;348:3;394:3,25
554,36:2;184:4;268:1;432:4,6
553,13:2;104:3;415:2,33
552,12:4;412:1;466:3;498:4,17
551,462:3,31
550,115:2;374:4;548:4,6
549,8:3;346:2,33
548,50:1;289:1;446:4;476:4,24
547,379:3,28
546,25:2;274:3;304:3,27
545,458:3,20
544,115:3,3
543,87:2;97:2;180:4;255:4,18
542,250:4;470:1;537:1,21
541,40:4;104:1;151:3,20
540,23:1;189:4;264:1;411:2,17
539,51:3;250:4;527:2,28
538,191:1;284:4;514:2,19
537,6:1;213:4;417:2,18
536,100:2;326:2;474:1,21
535,66:4;295:4,22
534,13:3;349:3;352:4;488:2,30
533,175:4;216:1;262:1;400:4,36
532,86:3;213:3;379:3,29
531,31:4;160:4;171:1;361:3,36
530,135:1;241:1;385:4;388:2,14
529,297:2,11
528,223:3;361:3;419:3;429:1,21
527,231:3;414:4;476:2;507:2,26
526,4:2;343:1;476:4,27
525,30:2;194:1;230:4;421:1,21
524,171:1;484:3,2
523,166:2;198:2;378:4;469:2,21
522,67:1;301:2,30
521,182:4;248:1;251:3;455:2,16
520,8:4;34:4;72:1;417:4,17
519,25:4,31
518,300:4,3
517,410:1;439:1;451:2,17
516,174:3,27
515,146:2;249:3;495:1,22
514,470:4,16
513,303:3;351:4;456:3,18
512,390:2,10
511,14:3;114:3;451:3,20
510,291:3;325:4,29
509,80:2;381:2;413:3,25
508,15:2;117:3;327:2,1
507,187:4;261:4;370:2,23
506,301:3;437:3,25
505,87:4;269:2;332:4;446:4,1
504,176:2,20
503,77:3;115:1,13
502,236:1;256:2;292:2,24
501,205:1,22
500,139:1,4
499,126:3;127:2;268:2;291:2,30
498,21:3;312:3,6
497,376:1;426:2,34
496,32:2;107:4;117:4,7
495,164:1,13
494,43:2;60:1;227:2;244:4,20
493,298:4,8
492,100:4;302:1;330:3;399:4,18
491,91:4;169:3;260:3;324:3,35
490,141:3;175:4,8
489,4:3;250:4,32
488,34:4;92:3,7
487,176:2;276:2;327:1;352:2,14
486,157:4;164:1;257:3,14
485,81:2;166:4,11
484,313:2;340:3,34
483,214:3;305:2;335:3;404:4,20
482,75:3;157:3;171:4,20
481,202:1;214:4;289:1;391:4,23
480,234:3;393:1,13
479,339:3;367:3,24
478,165:4,25
477,286:2;287:2;379:4,18
476,39:2,11
475,246:4;370:1;371:4,32
474,144:4;311:1,7
473,328:3,18
472,57:4;146:2;225:1,21
471,78:3;302:2;423:1;448:4,16
