1,626:8;857:5
2,220:1;267:4;621:7
3,385:8;549:2;792:2
4,56:2;130:8;236:7;547:3;718:1;755:3
5,130:1;238:2;247:4;819:2;897:6
6,96:3;266:3;268:1;341:7;551:8
7,144:4;823:2
8,74:2;152:6;433:8;453:3;640:5
9,31:1;34:1;784:1
10,32:2;86:2;169:4;331:8;761:2;776:8
11,59:1;381:3;646:6;664:6;807:7
12,118:5;297:5;517:3;662:2;771:3;814:8
13,503:2;535:3;787:3
14,514:1;637:6;808:7
15,42:1;446:1;479:1;520:1
16,252:2;268:6;350:5;354:3;387:7;652:7
17,126:5;153:4;242:6;423:6;817:1
18,175:7;318:1;842:1
19,55:8;213:6;247:1;417:3;421:3;482:2
20,275:1
21,887:7
22,128:1;542:5;855:5
23,182:4;255:7;486:4;511:2;529:7;561:5
24,159:2;690:3
25,175:5;303:7;410:5;634:3;695:1;744:4
26,134:7;378:4;735:2;775:5
27,85:1;474:7;895:5
28,161:5;364:1;383:3;400:7;769:4;776:6
29,192:5;557:4;700:1
30,87:5;316:5;387:1;422:4;482:2;812:6
31,570:3;715:5
32,138:1;477:6;743:1
33,59:5;655:4;704:4
34,214:6;784:4
35,126:7;264:4;323:3;602:2;726:2
36,729:8
37,127:1;478:4;739:4;807:2;900:4
38,138:6;222:4;415:1;660:7
39,741:2
40,769:8
41,98:7;399:1;473:1
42,214:1;841:1
43,110:3;115:1;343:4;425:7;798:6
44,271:5;510:2;653:7;720:1
45,219:6;377:3;402:1;625:2;697:5
46,73:5;127:2;539:5;828:4;892:4
47,352:1;489:3;543:7;859:4
48,741:3;835:4
49,76:8;152:5;246:6;518:6;617:7
50,95:5
51,713:5
52,533:7;549:1
53,22:6;646:4;797:8
54,439:1;446:2;762:2;810:3
55,19:4;44:1;800:4;867:6
56,91:1;408:7;623:3;838:8
57,329:4
58,180:4
59,54:7;349:3;365:7
60,112:7;497:3;498:4;642:5;868:5
61,6:8;42:4;119:6;248:5;312:4;568:8
62,48:4;140:4;418:6;542:2;564:1;755:2
63,19:1;380:6;463:2;621:5;708:5;711:3
64,732:8
65,170:7;597:7;827:7
66,304:8;566:2;620:5;658:3;778:6;851:7
67,106:5;151:1;255:5;339:4;579:3;583:4
68,190:4
69,145:7;795:7;800:1
70,24:8;572:3;638:7;717:2
71,32:8;428:3;658:4;783:5
72,226:6;234:6;533:4;622:3;742:1
73,4:7;353:2;848:3
74,31:3;350:7;445:6;563:3;580:7;625:5
75,803:7
76,75:4;353:1;388:8;417:7;646:2
77,150:6;195:6;703:2;785:5;827:4;851:5
78,153:5;247:5;555:1;602:1
79,490:4;771:1
80,684:7
81,57:7;65:4;120:2;399:2;401:4
82,27:2;50:7;343:1;844:5;875:2
83,75:6;622:1;645:8
84,182:4;645:8;793:7;884:3
85,748:6
86,287:5;653:1
87,289:7;452:3;454:1;614:8
